column,fixed_value,precision,recall,fbeta
native-country,Nicaragua,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,France,1.0,1.0,1.0
native-country,Hong,1.0,0.5,0.6666666666666666
native-country,Scotland,1.0,1.0,1.0
native-country,Holand-Netherlands,1.0,1.0,1.0
native-country,Cambodia,1.0,0.0,0.0
native-country,Ireland,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
native-country,Thailand,1.0,0.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Greece,1.0,0.5,0.6666666666666666
native-country,Ecuador,1.0,0.0,0.0
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,El-Salvador,0.3333333333333333,0.5,0.4
native-country,Columbia,0.0,1.0,0.0
native-country,Yugoslavia,1.0,0.5,0.6666666666666666
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Jamaica,1.0,0.0,0.0
native-country,Laos,0.0,1.0,0.0
native-country,Puerto-Rico,1.0,1.0,1.0
native-country,Peru,0.0,1.0,0.0
native-country,England,0.5714285714285714,0.4,0.47058823529411764
native-country,Iran,0.4,0.4,0.4000000000000001
native-country,Guatemala,1.0,1.0,1.0
native-country,Haiti,0.3333333333333333,0.5,0.4
native-country,Taiwan,0.75,1.0,0.8571428571428571
native-country,India,0.625,0.625,0.625
native-country,Philippines,0.5555555555555556,0.5,0.5263157894736842
native-country,Italy,0.5,0.3333333333333333,0.4
native-country,Portugal,0.5,0.3333333333333333,0.4
native-country,China,0.625,0.8333333333333334,0.7142857142857143
native-country,Japan,0.8,1.0,0.888888888888889
native-country,South,0.3333333333333333,0.5,0.4
native-country,Vietnam,0.0,0.0,0.0
native-country,Germany,0.8333333333333334,0.5555555555555556,0.6666666666666667
native-country,Canada,0.6666666666666666,0.5714285714285714,0.6153846153846153
native-country,Cuba,0.4,0.5,0.4444444444444445
native-country,Poland,0.5,0.5,0.5
native-country,?,0.5625,0.6666666666666666,0.6101694915254238
native-country,Mexico,0.38461538461538464,0.4166666666666667,0.4
native-country,United-States,0.6152758132956153,0.6200997861724875,0.6176783812566561
sex,Female,0.5277777777777778,0.5659574468085107,0.5462012320328543
sex,Male,0.625866050808314,0.622511485451761,0.6241842610364683
race,Other,1.0,0.5,0.6666666666666666
race,Asian-Pac-Islander,0.6379310344827587,0.6271186440677966,0.6324786324786326
race,Amer-Indian-Eskimo,0.38461538461538464,0.4166666666666667,0.4
race,Black,0.5180722891566265,0.5180722891566265,0.5180722891566265
race,White,0.6157706093189964,0.6211135213304411,0.6184305255579554
relationship,Wife,0.6733333333333333,0.643312101910828,0.6579804560260586
relationship,Other-relative,0.2857142857142857,0.3333333333333333,0.30769230769230765
relationship,Not-in-family,0.4358974358974359,0.4444444444444444,0.4401294498381877
relationship,Own-child,0.30434782608695654,0.35,0.3255813953488372
relationship,Unmarried,0.2894736842105263,0.3142857142857143,0.3013698630136986
relationship,Husband,0.6452991452991453,0.6486254295532646,0.6469580119965724
occupation,Armed-Forces,1.0,1.0,1.0
occupation,Priv-house-serv,0.25,1.0,0.4
occupation,Protective-serv,0.5581395348837209,0.5714285714285714,0.5647058823529412
occupation,Tech-support,0.6545454545454545,0.6,0.6260869565217392
occupation,Other-service,0.2702702702702703,0.3448275862068966,0.30303030303030304
occupation,Handlers-cleaners,0.14285714285714285,0.14285714285714285,0.14285714285714285
occupation,Machine-op-inspct,0.4107142857142857,0.5,0.45098039215686275
occupation,Sales,0.5736842105263158,0.5618556701030928,0.5677083333333334
occupation,Prof-specialty,0.7357357357357357,0.6882022471910112,0.7111756168359941
occupation,?,0.5348837209302325,0.6216216216216216,0.575
occupation,Transport-moving,0.47058823529411764,0.5161290322580645,0.4923076923076923
